source,target,kind,layer_from,layer_to
s099/sid379805,s099/sid379803,host,99,99
s099/sid379806,s099/sid379803,host,99,99
s099/sid379808,s099/sid379803,host,99,99
s099/sid379809,s099/sid379803,host,99,99
s099/sid379811,s099/sid379803,host,99,99
s099/sid379812,s099/sid379803,host,99,99
s099/sid379813,s099/sid379803,host,99,99
s099/sid379817,s099/sid379805,host,99,99
s099/sid379820,s099/sid379803,host,99,99
s099/sid379823,s099/sid379808,host,99,99
s099/sid379825,s099/sid379805,host,99,99
s099/sid379826,s099/sid379813,host,99,99
s099/sid379827,s099/sid379803,host,99,99
s099/sid379831,s099/sid379803,host,99,99
s099/sid379834,s099/sid379803,host,99,99
s099/sid379839,s099/sid379803,host,99,99
s091/sid361019,s099/sid379805,time,91,99
s091/sid361041,s099/sid379839,time,91,99
s091/sid361041,s091/sid361020,host,91,91
s091/sid361023,s099/sid379809,time,91,99
s091/sid361026,s099/sid379812,time,91,99
s091/sid361022,s099/sid379808,time,91,99
s091/sid361028,s099/sid379813,time,91,99
s091/sid361028,s091/sid361018,host,91,91
s091/sid361024,s099/sid379811,time,91,99
s091/sid361032,s099/sid379820,time,91,99
s091/sid361032,s091/sid361018,host,91,91
s091/sid361027,s099/sid379823,time,91,99
s091/sid361027,s091/sid361022,host,91,91
s091/sid361042,s099/sid379825,time,91,99
s091/sid361042,s091/sid361019,host,91,91
s091/sid361033,s099/sid379826,time,91,99
s091/sid361033,s091/sid361018,host,91,91
s091/sid361035,s099/sid379827,time,91,99
s091/sid361035,s091/sid361022,host,91,91
s091/sid361048,s099/sid379834,time,91,99
s091/sid361048,s091/sid361018,host,91,91
s091/sid361018,s099/sid379803,time,91,99
s091/sid361029,s099/sid379817,time,91,99
s091/sid361029,s091/sid361019,host,91,91
s091/sid361046,s099/sid379831,time,91,99
s091/sid361046,s091/sid361018,host,91,91
s091/sid361021,s099/sid379806,time,91,99
s091/sid361021,s091/sid361018,host,91,91
s091/sid361020,s091/sid361018,host,91,91
s091/sid361025,s091/sid361018,host,91,91
s091/sid361031,s091/sid361018,host,91,91
s091/sid361034,s091/sid361018,host,91,91
s091/sid361036,s091/sid361018,host,91,91
s091/sid361038,s091/sid361018,host,91,91
s091/sid361039,s091/sid361020,host,91,91
s091/sid361044,s091/sid361018,host,91,91
s091/sid361047,s091/sid361018,host,91,91
s091/sid361049,s091/sid361018,host,91,91
s091/sid361051,s091/sid361018,host,91,91
s091/sid361052,s091/sid361018,host,91,91
s091/sid361053,s091/sid361018,host,91,91
s091/sid361054,s091/sid361018,host,91,91
s091/sid361055,s091/sid361018,host,91,91
s091/sid361056,s091/sid361018,host,91,91
s084/sid330770,s091/sid361019,time,84,91
s084/sid330805,s091/sid361053,time,84,91
s084/sid330805,s084/sid330769,host,84,84
s084/sid330791,s091/sid361044,time,84,91
s084/sid330791,s084/sid330769,host,84,84
s084/sid330789,s091/sid361049,time,84,91
s084/sid330789,s084/sid330775,host,84,84
s084/sid330771,s091/sid361020,time,84,91
s084/sid330771,s084/sid330769,host,84,84
s084/sid330772,s091/sid361021,time,84,91
s084/sid330792,s091/sid361042,time,84,91
s084/sid330792,s084/sid330770,host,84,84
s084/sid675018,s091/sid361027,time,84,91
s084/sid330775,s091/sid361031,time,84,91
s084/sid330775,s084/sid330769,host,84,84
s084/sid330781,s091/sid361034,time,84,91
s084/sid330781,s084/sid330769,host,84,84
s084/sid330794,s091/sid361048,time,84,91
s084/sid330794,s084/sid330769,host,84,84
s084/sid330806,s091/sid361054,time,84,91
s084/sid330806,s084/sid330769,host,84,84
s084/sid330801,s091/sid361046,time,84,91
s084/sid675020,s091/sid361035,time,84,91
s084/sid675020,s084/sid675019,host,84,84
s084/sid825821,s091/sid361026,time,84,91
s084/sid707448,s091/sid361023,time,84,91
s084/sid330774,s091/sid361025,time,84,91
s084/sid330774,s084/sid330769,host,84,84
s084/sid330783,s091/sid361038,time,84,91
s084/sid330783,s084/sid330769,host,84,84
s084/sid330773,s091/sid361024,time,84,91
s084/sid330812,s091/sid361039,time,84,91
s084/sid330812,s084/sid330776,host,84,84
s084/sid330780,s091/sid361032,time,84,91
s084/sid330788,s091/sid361036,time,84,91
s084/sid330788,s084/sid330769,host,84,84
s084/sid330800,s091/sid361052,time,84,91
s084/sid330778,s091/sid361029,time,84,91
s084/sid330778,s084/sid330770,host,84,84
s084/sid965739,s091/sid361047,time,84,91
s084/sid330782,s091/sid361033,time,84,91
s084/sid330811,s091/sid361055,time,84,91
s084/sid330811,s084/sid330769,host,84,84
s084/sid330776,s091/sid361041,time,84,91
s084/sid330790,s091/sid361051,time,84,91
s084/sid330769,s091/sid361018,time,84,91
s084/sid675019,s091/sid361022,time,84,91
s084/sid675019,s084/sid675018,host,84,84
s084/sid330777,s091/sid361028,time,84,91
s084/sid330777,s084/sid330771,host,84,84
s084/sid330793,s084/sid330769,host,84,84
s084/sid330795,s084/sid330769,host,84,84
s084/sid330796,s084/sid330769,host,84,84
s084/sid330798,s084/sid330770,host,84,84
s084/sid330807,s084/sid330769,host,84,84
s084/sid330808,s084/sid330769,host,84,84
s084/sid330810,s084/sid330769,host,84,84
s084/sid330813,s084/sid330769,host,84,84
s078/sid880634,s084/sid330781,time,78,84
s078/sid330235,s084/sid330813,time,78,84
s078/sid330220,s084/sid330791,time,78,84
s078/sid584157,s084/sid330772,time,78,84
s078/sid1017145,s084/sid330807,time,78,84
s078/sid330212,s084/sid330783,time,78,84
s078/sid660382,s084/sid675020,time,78,84
s078/sid330207,s084/sid330774,time,78,84
s078/sid330217,s084/sid330789,time,78,84
s078/sid523715,s084/sid330792,time,78,84
s078/sid523715,s078/sid523712,host,78,78
s078/sid691814,s084/sid707448,time,78,84
s078/sid330210,s084/sid330775,time,78,84
s078/sid330222,s084/sid330794,time,78,84
s078/sid330222,s078/sid330204,host,78,78
s078/sid330204,s084/sid330769,time,78,84
s078/sid330208,s084/sid330773,time,78,84
s078/sid330208,s078/sid330205,host,78,78
s078/sid523713,s084/sid330778,time,78,84
s078/sid523713,s078/sid523712,host,78,78
s078/sid962287,s084/sid965739,time,78,84
s078/sid330213,s084/sid330780,time,78,84
s078/sid660380,s084/sid675019,time,78,84
s078/sid757855,s084/sid330812,time,78,84
s078/sid330211,s084/sid330777,time,78,84
s078/sid330211,s078/sid330204,host,78,78
s078/sid330228,s084/sid330805,time,78,84
s078/sid330228,s078/sid330204,host,78,78
s078/sid905269,s084/sid330793,time,78,84
s078/sid330236,s084/sid330810,time,78,84
s078/sid757854,s084/sid330776,time,78,84
s078/sid972158,s084/sid330811,time,78,84
s078/sid330205,s084/sid330771,time,78,84
s078/sid660381,s084/sid675018,time,78,84
s078/sid660381,s078/sid660380,host,78,78
s078/sid330215,s084/sid330788,time,78,84
s078/sid330225,s084/sid330796,time,78,84
s078/sid330225,s078/sid330204,host,78,78
s078/sid523712,s084/sid330770,time,78,84
s078/sid330230,s084/sid330806,time,78,84
s078/sid330209,s084/sid825821,time,78,84
s078/sid330233,s084/sid330800,time,78,84
s078/sid330214,s084/sid330782,time,78,84
s078/sid330214,s078/sid330204,host,78,78
s078/sid523714,s084/sid330798,time,78,84
s078/sid523714,s078/sid523712,host,78,78
s078/sid965983,s084/sid330801,time,78,84
s078/sid330226,s084/sid330790,time,78,84
s078/sid330216,s078/sid330204,host,78,78
s078/sid330218,s078/sid330205,host,78,78
s078/sid330221,s078/sid330204,host,78,78
s078/sid330229,s078/sid330204,host,78,78
s078/sid330234,s078/sid330204,host,78,78
s078/sid330237,s078/sid330204,host,78,78
s072/sid676585,s078/sid691814,time,72,78
s072/sid310142,s078/sid330236,time,72,78
s072/sid310142,s072/sid310124,host,72,72
s072/sid573774,s078/sid584157,time,72,78
s072/sid1014258,s078/sid330235,time,72,78
s072/sid310141,s078/sid330230,time,72,78
s072/sid648616,s078/sid660382,time,72,78
s072/sid310130,s078/sid330210,time,72,78
s072/sid853795,s078/sid880634,time,72,78
s072/sid927278,s078/sid330226,time,72,78
s072/sid499831,s078/sid523713,time,72,78
s072/sid499831,s072/sid499830,host,72,72
s072/sid648615,s078/sid660381,time,72,78
s072/sid872483,s078/sid330217,time,72,78
s072/sid310129,s078/sid330209,time,72,78
s072/sid958834,s078/sid962287,time,72,78
s072/sid946280,s078/sid330229,time,72,78
s072/sid1024584,s078/sid1017145,time,72,78
s072/sid310125,s078/sid330205,time,72,78
s072/sid310138,s078/sid330220,time,72,78
s072/sid897637,s078/sid330215,time,72,78
s072/sid310139,s078/sid330222,time,72,78
s072/sid310139,s072/sid310124,host,72,72
s072/sid310137,s078/sid330225,time,72,78
s072/sid310132,s078/sid330214,time,72,78
s072/sid310132,s072/sid310124,host,72,72
s072/sid987388,s078/sid972158,time,72,78
s072/sid691944,s078/sid757855,time,72,78
s072/sid984205,s078/sid965983,time,72,78
s072/sid310124,s078/sid330204,time,72,78
s072/sid900951,s078/sid330213,time,72,78
s072/sid499832,s078/sid523714,time,72,78
s072/sid648614,s078/sid660380,time,72,78
s072/sid1011343,s078/sid330233,time,72,78
s072/sid499833,s078/sid523715,time,72,78
s072/sid967706,s078/sid905269,time,72,78
s072/sid310127,s078/sid330208,time,72,78
s072/sid785827,s078/sid757854,time,72,78
s072/sid310133,s078/sid330212,time,72,78
s072/sid310131,s078/sid330211,time,72,78
s072/sid310131,s072/sid310124,host,72,72
s072/sid499830,s078/sid523712,time,72,78
s072/sid310128,s078/sid330207,time,72,78
s072/sid310140,s078/sid330228,time,72,78
s072/sid310134,s072/sid310124,host,72,72
s072/sid310135,s072/sid310124,host,72,72
s072/sid310136,s072/sid310124,host,72,72
s072/sid310144,s072/sid310125,host,72,72
s067/sid913761,s072/sid927278,time,67,72
s067/sid740900,s072/sid648615,time,67,72
s067/sid914495,s072/sid310138,time,67,72
s067/sid776003,s072/sid785827,time,67,72
s067/sid1019619,s072/sid1024584,time,67,72
s067/sid300768,s072/sid310142,time,67,72
s067/sid300768,s067/sid300753,host,67,67
s067/sid897155,s072/sid900951,time,67,72
s067/sid558001,s072/sid573774,time,67,72
s067/sid896568,s072/sid897637,time,67,72
s067/sid300758,s072/sid310131,time,67,72
s067/sid300758,s067/sid300753,host,67,67
s067/sid761134,s072/sid310129,time,67,72
s067/sid300753,s072/sid310124,time,67,72
s067/sid468294,s072/sid499833,time,67,72
s067/sid468294,s067/sid468292,host,67,67
s067/sid674165,s072/sid648614,time,67,72
s067/sid857934,s072/sid853795,time,67,72
s067/sid1001830,s072/sid987388,time,67,72
s067/sid993318,s072/sid984205,time,67,72
s067/sid674166,s072/sid648616,time,67,72
s067/sid902107,s072/sid872483,time,67,72
s067/sid300757,s072/sid310130,time,67,72
s067/sid937678,s072/sid946280,time,67,72
s067/sid913004,s072/sid310137,time,67,72
s067/sid973718,s072/sid967706,time,67,72
s067/sid949131,s072/sid958834,time,67,72
s067/sid1026707,s072/sid1014258,time,67,72
s067/sid942833,s072/sid691944,time,67,72
s067/sid897192,s072/sid499832,time,67,72
s067/sid975796,s072/sid1011343,time,67,72
s067/sid300764,s072/sid310139,time,67,72
