id,layer,subfind_id,is_central,in_radius,has_host,has_time_edge,mass_total(1e10Msun/h)
s099/sid439099,99,439099,1,1,0,1,225.93365478515625
s099/sid439100,99,439100,0,1,1,1,1.3352992534637451
s099/sid439101,99,439101,0,1,1,1,1.393057107925415
s099/sid439102,99,439102,0,1,1,1,1.3564056158065796
s099/sid439105,99,439105,0,1,1,1,0.6330975294113159
s099/sid439106,99,439106,0,1,1,1,0.47811347246170044
s099/sid439107,99,439107,0,1,1,1,0.33244362473487854
s099/sid439108,99,439108,0,1,1,1,0.38676562905311584
s099/sid439110,99,439110,0,1,1,1,0.21334455907344818
s099/sid439114,99,439114,0,1,1,1,0.2498166263103485
s099/sid439117,99,439117,0,1,1,1,0.1270327866077423
s099/sid439118,99,439118,0,1,1,1,0.11945758014917374
s099/sid439121,99,439121,0,1,1,1,0.11515332758426666
s099/sid439122,99,439122,0,1,1,1,0.1003081426024437
s091/sid414688,91,414688,0,1,1,1,0.11294032633304596
s091/sid414679,91,414679,0,1,1,1,0.25759315490722656
s091/sid414685,91,414685,0,1,1,0,0.12888513505458832
s091/sid414672,91,414672,0,1,1,1,1.5384052991867065
s091/sid414674,91,414674,0,1,1,1,1.2722070217132568
s091/sid414671,91,414671,0,1,0,1,210.02029418945312
s091/sid866506,91,866506,0,1,0,1,0.6741839051246643
s091/sid860796,91,860796,0,1,0,1,0.7850814461708069
s091/sid952316,91,952316,0,1,0,1,0.301608145236969
s091/sid892005,91,892005,0,1,0,1,0.5015316009521484
s091/sid414680,91,414680,0,1,0,1,0.3173290491104126
s091/sid414673,91,414673,0,1,1,1,1.2351852655410767
s091/sid414683,91,414683,0,1,0,1,0.16922427713871002
s091/sid414676,91,414676,0,1,0,1,1.0581202507019043
s091/sid414678,91,414678,0,1,1,1,0.46440207958221436
s091/sid414681,91,414681,0,1,1,1,0.2491457760334015
s091/sid414682,91,414682,0,1,1,1,0.1904291808605194
s091/sid414684,91,414684,0,1,1,1,0.15704882144927979
s091/sid414690,91,414690,0,1,1,1,0.10424945503473282
s084/sid385528,84,385528,0,1,1,1,0.6467475891113281
s084/sid938157,84,938157,0,1,0,1,0.29929524660110474
s084/sid1014439,84,1014439,0,1,0,1,0.13875925540924072
s084/sid385538,84,385538,0,1,0,1,0.12218183279037476
s084/sid385529,84,385529,0,1,1,1,0.45111915469169617
s084/sid876198,84,876198,0,1,0,1,0.414837509393692
s084/sid385523,84,385523,0,1,0,1,197.49012756347656
s084/sid859578,84,859578,0,1,0,1,0.48456624150276184
s084/sid823109,84,823109,0,1,0,1,0.7812861800193787
s084/sid385525,84,385525,0,1,1,1,1.644097089767456
s084/sid801460,84,801460,0,1,0,1,1.0809433460235596
s084/sid385536,84,385536,0,1,1,1,0.20758095383644104
s084/sid385524,84,385524,0,1,1,1,2.093989372253418
s084/sid385537,84,385537,0,1,0,1,0.1822890043258667
s084/sid751485,84,751485,0,1,0,1,2.22192120552063
s084/sid385535,84,385535,0,1,1,1,0.21929258108139038
s084/sid845969,84,845969,0,1,0,1,0.6281220316886902
s084/sid385531,84,385531,0,1,1,1,0.3297262191772461
s084/sid385530,84,385530,0,1,1,0,0.11231847107410431
s084/sid385539,84,385539,0,1,1,0,0.11368408799171448
s084/sid385541,84,385541,0,1,1,1,0.11187178641557693
s084/sid385542,84,385542,0,1,1,1,0.10964159667491913
s084/sid385544,84,385544,0,1,1,0,0.10653873533010483
s078/sid928771,78,928771,0,1,0,1,0.26623597741127014
s078/sid354266,78,354266,0,1,0,1,189.284912109375
s078/sid354281,78,354281,0,1,0,1,0.1271730214357376
s078/sid354285,78,354285,0,1,0,1,0.12203110009431839
s078/sid354270,78,354270,0,1,0,1,0.7904379367828369
s078/sid354279,78,354279,0,1,1,1,0.18699343502521515
s078/sid806200,78,806200,0,1,0,1,0.7908565998077393
s078/sid354268,78,354268,0,1,0,1,2.1782917976379395
s078/sid739541,78,739541,0,1,0,1,2.183971405029297
s078/sid1014158,78,1014158,0,1,0,1,0.1400502324104309
s078/sid354277,78,354277,0,1,0,1,0.2060754895210266
s078/sid354271,78,354271,0,1,1,1,0.4433732330799103
s078/sid860661,78,860661,0,1,0,1,0.413936972618103
s078/sid354272,78,354272,0,1,0,1,0.3557101786136627
s078/sid928956,78,928956,0,1,0,1,0.297628790140152
s078/sid354287,78,354287,0,1,0,1,0.11251747608184814
s078/sid354267,78,354267,0,1,1,1,3.129512071609497
s078/sid836263,78,836263,0,1,0,1,0.6048787236213684
s078/sid797404,78,797404,0,1,0,1,1.0624077320098877
s078/sid869707,78,869707,0,1,0,1,0.48177510499954224
s078/sid354273,78,354273,0,1,1,1,0.2677346169948578
s078/sid354275,78,354275,0,1,1,0,0.21948154270648956
s078/sid354276,78,354276,0,1,1,0,0.21744269132614136
s078/sid354280,78,354280,0,1,1,0,0.14409644901752472
s078/sid354284,78,354284,0,1,1,0,0.12639470398426056
s078/sid354286,78,354286,0,1,1,0,0.12003234028816223
s072/sid335604,72,335604,0,1,1,1,0.8522378206253052
s072/sid976795,72,976795,0,1,0,1,0.14650499820709229
s072/sid335608,72,335608,0,1,0,1,0.3667541742324829
s072/sid785322,72,785322,0,1,0,1,0.9937449097633362
s072/sid863797,72,863797,0,1,0,1,0.45515990257263184
s072/sid937518,72,937518,0,1,0,1,0.21314559876918793
s072/sid335600,72,335600,0,1,0,1,186.3452606201172
s072/sid335601,72,335601,0,1,1,1,4.157156944274902
s072/sid335612,72,335612,0,1,1,1,0.23187093436717987
s072/sid897437,72,897437,0,1,0,1,0.27338847517967224
s072/sid335603,72,335603,0,1,0,1,2.0234923362731934
s072/sid720423,72,720423,0,1,0,1,2.180666446685791
s072/sid335614,72,335614,0,1,0,1,0.14445523917675018
s072/sid335611,72,335611,0,1,0,1,0.2684175372123718
s072/sid335602,72,335602,0,1,1,1,3.1233437061309814
s072/sid1014105,72,1014105,0,1,0,1,0.11946423351764679
s072/sid803600,72,803600,0,1,0,1,0.831268310546875
s072/sid980283,72,980283,0,1,0,1,0.15169237554073334
s072/sid823397,72,823397,0,1,0,1,0.5542949438095093
s072/sid863667,72,863667,0,1,0,1,0.37529903650283813
s072/sid917220,72,917220,0,1,0,1,0.29786625504493713
s072/sid783135,72,783135,0,1,0,1,0.7933350801467896
s072/sid335610,72,335610,0,1,1,0,0.29279476404190063
s072/sid335613,72,335613,0,1,1,0,0.17252618074417114
s072/sid335615,72,335615,0,1,1,1,0.10849346220493317
s072/sid335616,72,335616,0,1,1,0,0.10685010254383087
s067/sid858461,67,858461,0,1,0,1,0.3328648805618286
s067/sid753779,67,753779,0,1,0,1,0.7706083059310913
s067/sid862184,67,862184,0,1,0,1,0.4357479512691498
s067/sid312355,67,312355,0,1,1,1,0.14579986035823822
s067/sid312342,67,312342,0,1,1,1,2.5597951412200928
s067/sid850792,67,850792,0,1,0,1,0.3712834119796753
s067/sid312340,67,312340,0,1,0,1,176.87205505371094
s067/sid937538,67,937538,0,1,0,1,0.2194472849369049
s067/sid897692,67,897692,0,1,0,1,0.279281347990036
s067/sid787310,67,787310,0,1,0,1,0.8603397607803345
s067/sid312343,67,312343,0,1,0,1,2.2904586791992188
s067/sid312347,67,312347,0,1,1,1,0.32681238651275635
s067/sid312353,67,312353,0,1,1,1,0.19175152480602264
s067/sid781919,67,781919,0,1,0,1,0.9024316072463989
s067/sid929104,67,929104,0,1,0,1,0.13369561731815338
s067/sid707545,67,707545,0,1,0,1,1.9980523586273193
s067/sid999314,67,999314,0,1,0,1,0.14152568578720093
s067/sid312344,67,312344,0,1,1,1,0.9301104545593262
s067/sid910784,67,910784,0,1,0,1,0.2884903848171234
s067/sid312351,67,312351,0,1,0,1,0.2741997241973877
s067/sid903471,67,903471,0,1,0,1,0.17668166756629944
s067/sid312341,67,312341,0,1,1,1,4.391957759857178
s067/sid826388,67,826388,0,1,0,1,0.5274341106414795
s067/sid312345,67,312345,0,1,1,0,0.5023372173309326
s067/sid312348,67,312348,0,1,1,0,0.3294030725955963
s067/sid312352,67,312352,0,1,1,0,0.21841365098953247
s067/sid312354,67,312354,0,1,1,1,0.16065050661563873
s067/sid312357,67,312357,0,1,1,0,0.12977975606918335
s059/sid918077,59,918077,0,1,0,1,0.2630523443222046
s059/sid271412,59,271412,0,1,1,1,1.8134609460830688
s059/sid862974,59,862974,0,1,0,1,0.4063485264778137
s059/sid271431,59,271431,0,1,0,1,0.12512065470218658
s059/sid271425,59,271425,0,1,0,1,0.20389321446418762
s059/sid271427,59,271427,0,1,0,1,0.17437949776649475
s059/sid825755,59,825755,0,1,0,1,0.466802716255188
s059/sid952406,59,952406,0,1,0,1,0.14042632281780243
s059/sid271421,59,271421,0,1,0,1,0.29857656359672546
s059/sid889584,59,889584,0,1,0,1,0.2867855131626129
s059/sid793027,59,793027,0,1,0,1,0.7490968704223633
s059/sid271419,59,271419,0,1,0,1,0.389015257358551
s059/sid271422,59,271422,0,1,1,1,0.23644140362739563
s059/sid810267,59,810267,0,1,0,1,0.28268903493881226
s059/sid271409,59,271409,0,1,0,1,162.0164794921875
s059/sid271418,59,271418,0,1,1,1,0.48619478940963745
s059/sid271415,59,271415,0,1,0,1,0.8415996432304382
s059/sid271414,59,271414,0,1,1,1,1.0456472635269165
s059/sid271416,59,271416,0,1,0,1,0.6346387267112732
s059/sid271423,59,271423,0,1,0,1,0.24958206713199615
s059/sid700992,59,700992,0,1,0,1,1.6138204336166382
s059/sid271411,59,271411,0,1,1,1,4.543639659881592
s059/sid271410,59,271410,0,1,0,1,20.023359298706055
s059/sid778063,59,778063,0,1,0,1,0.7037712335586548
s059/sid271417,59,271417,0,1,1,1,0.13184687495231628
s059/sid271420,59,271420,0,1,1,0,0.29931584000587463
s059/sid271424,59,271424,0,1,1,1,0.2291427105665207
s059/sid271428,59,271428,0,1,1,1,0.17292596399784088
s059/sid271430,59,271430,0,1,1,1,0.1264549195766449
s059/sid271432,59,271432,0,1,1,0,0.11939087510108948
s059/sid271433,59,271433,0,1,1,1,0.11151622235774994
s059/sid271436,59,271436,0,1,1,1,0.10548579692840576
s050/sid228913,50,228913,0,1,0,1,0.33543798327445984
s050/sid228908,50,228908,0,1,0,1,0.8308575749397278
s050/sid228912,50,228912,0,1,1,1,0.4140859544277191
s050/sid941494,50,941494,0,1,0,1,0.19761969149112701
s050/sid771703,50,771703,0,1,0,1,0.6452676057815552
s050/sid228909,50,228909,0,1,0,1,0.9873062372207642
s050/sid228905,50,228905,0,1,1,1,5.641631603240967
s050/sid772973,50,772973,0,1,0,1,0.6102925539016724
s050/sid1037852,50,1037852,0,1,0,1,0.11618883162736893
s050/sid1006622,50,1006622,0,1,0,0,0.13963444530963898
